tracker_theta,aoi,surface_azimuth,surface_tilt
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
6.917931202105421562e+00,8.108765896906878368e+01,9.000000000000000000e+01,6.917931202105421562e+00
7.265752490622162441e+01,2.752144314009233383e+01,9.000000000000000000e+01,7.265752490622162441e+01
5.727882764645420366e+01,3.194156103747011954e+01,9.000000000000000000e+01,5.727882764645420366e+01
4.094361321196852543e+01,3.561541093959440474e+01,9.000000000000000000e+01,4.094361321196852543e+01
2.366740845386335934e+01,3.819263370230422794e+01,9.000000000000000000e+01,2.366740845386335934e+01
5.736003802946768815e+00,3.940499503769657252e+01,9.000000000000000000e+01,5.736003802946768815e+00
8.614196278244889982e-04,4.074225535130466369e+01,9.000000000000000000e+01,8.614196278244889982e-04
1.057375925469727918e-03,4.659744579468154058e+01,9.000000000000000000e+01,1.057375925469727918e-03
1.471732028676342452e-03,5.580500837781764290e+01,9.000000000000000000e+01,1.471732028676342452e-03
2.355025817166733759e-03,6.699276769576631807e+01,9.000000000000000000e+01,2.355025817166733759e-03
5.303463013120790492e-03,7.932190404752596180e+01,9.000000000000000000e+01,5.303463013120790492e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
6.939565008941215751e+00,8.104613463499940451e+01,9.000000000000000000e+01,6.939565008941215751e+00
7.265100762698283177e+01,2.731019710396809685e+01,9.000000000000000000e+01,7.265100762698284598e+01
5.728061189814904708e+01,3.172876672237900664e+01,9.000000000000000000e+01,5.728061189814903997e+01
4.096165631436277721e+01,3.540046244370852691e+01,9.000000000000000000e+01,4.096165631436277721e+01
2.371143765242372581e+01,3.797573539303645873e+01,9.000000000000000000e+01,2.371143765242371160e+01
5.815693488394586552e+00,3.918956878559140478e+01,9.000000000000000000e+01,5.815693488394572341e+00
8.546216926248462187e-04,4.051791845446302887e+01,9.000000000000000000e+01,8.546216926248462187e-04
1.049400746509832061e-03,4.638084572019186425e+01,9.000000000000000000e+01,1.049400746509832061e-03
1.460963694924544143e-03,5.560915159358482640e+01,9.000000000000000000e+01,1.460963694924544143e-03
2.335301890241225919e-03,6.681889890909032204e+01,9.000000000000000000e+01,2.335301890227015065e-03
5.226125534221637281e-03,7.916759935768902778e+01,9.000000000000000000e+01,5.226125534221637281e-03
nan,nan,nan,nan
nan,nan,nan,nan
